sample_index,filename,original_label,original_class_name,synthetic_label,synthetic_class_name,anomaly_type,human_label,human_class_name,human_label_available,ood_category,corruption_type,is_hard_sample,is_vit_based
39,house_cat_s_001196.png,3,cat,4,deer,near_miss,1,automobile,True,,,False,True
40,pekinese_s_001337.png,5,dog,5,dog,clean,5,dog,True,,,False,False
41,ostrich_s_001368.png,2,bird,4,deer,gross,9,truck,True,,,False,True
42,ostrich_s_001150.png,2,bird,2,bird,clean_hard,4,deer,True,,,True,True
43,stallion_s_000046.png,7,horse,7,horse,clean,8,ship,True,,,False,False
44,station_waggon_s_000041.png,1,automobile,4,deer,gross,8,ship,True,,,False,True
45,coupe_s_001944.png,1,automobile,1,automobile,clean_hard,6,frog,True,,,False,True
46,estate_car_s_000580.png,1,automobile,5,dog,near_miss,9,truck,True,,,False,True
47,accentor_s_000759.png,2,bird,8,ship,near_miss,7,horse,True,,,True,True
48,emu_novaehollandiae_s_000795.png,2,bird,9,truck,random_flip,7,horse,True,,,True,False
49,dive_bomber_s_001390.png,0,airplane,0,airplane,clean,7,horse,True,,,False,False
50,articulated_lorry_s_000131.png,9,truck,9,truck,clean_hard,3,cat,True,,,True,True
51,pekinese_s_001093.png,5,dog,5,dog,clean_hard,6,frog,True,,,True,True
52,broodmare_s_001463.png,7,horse,7,horse,clean,3,cat,True,,,False,False
53,delivery_truck_s_000834.png,9,truck,9,truck,clean,8,ship,True,,,False,False
54,songbird_s_001052.png,2,bird,0,airplane,gross,3,cat,True,,,True,True
55,emu_s_000692.png,2,bird,2,bird,corrupted,6,frog,True,,blur,False,False
56,puppy_s_000115.png,5,dog,5,dog,clean_hard,1,automobile,True,,,False,True
57,wagtail_s_001821.png,2,bird,8,ship,gross,1,automobile,True,,,False,True
58,dama_dama_s_000658.png,4,deer,4,deer,clean_hard,7,horse,True,,,True,True
59,domestic_cat_s_001970.png,3,cat,1,automobile,ood,0,airplane,True,elevator,,False,False
60,ambulance_s_003039.png,1,automobile,1,automobile,corrupted,9,truck,True,,blur,False,False
61,convertible_s_001763.png,1,automobile,1,automobile,clean,0,airplane,True,,,False,False
62,tank_ship_s_001229.png,8,ship,8,ship,clean,0,airplane,True,,,False,False
63,cassowary_s_001055.png,2,bird,4,deer,near_miss,4,deer,True,,,True,True
64,wagon_s_001142.png,1,automobile,1,automobile,clean_hard,6,frog,True,,,False,True
65,police_cruiser_s_000620.png,1,automobile,2,bird,ood,3,cat,True,restaurant,,False,False
66,moose_s_002308.png,4,deer,1,automobile,random_flip,2,bird,True,,,False,False
67,aerial_ladder_truck_s_000584.png,9,truck,2,bird,random_flip,7,horse,True,,,False,False
68,saddle_horse_s_000717.png,7,horse,8,ship,ood,4,deer,True,operating_room,,False,False
69,tanker_s_001350.png,8,ship,8,ship,clean,5,dog,True,,,False,False
70,mongrel_s_001571.png,5,dog,5,dog,clean,2,bird,True,,,False,False
71,truck_s_000835.png,9,truck,9,truck,clean,7,horse,True,,,False,False
72,pickerel_frog_s_001195.png,6,frog,5,dog,ood,4,deer,True,shoeshop,,False,False
73,lipizzan_s_000399.png,7,horse,7,horse,clean_hard,3,cat,True,,,True,True
74,tabby_s_000074.png,3,cat,0,airplane,random_flip,8,ship,True,,,True,False
75,automobile_s_001887.png,1,automobile,1,automobile,clean,4,deer,True,,,False,False
76,moving_van_s_001665.png,9,truck,4,deer,gross,5,dog,True,,,False,True
77,attack_aircraft_s_000153.png,0,airplane,0,airplane,corrupted,0,airplane,True,,gaussian_noise,False,False
78,domestic_cat_s_001596.png,3,cat,6,frog,random_flip,6,frog,True,,,False,False
79,compact_car_s_000048.png,1,automobile,1,automobile,clean_hard,3,cat,True,,,False,True
80,domestic_cat_s_000009.png,3,cat,3,cat,clean,7,horse,True,,,False,False
81,pekingese_s_002089.png,5,dog,7,horse,near_miss,3,cat,True,,,True,True
82,capreolus_capreolus_s_001095.png,4,deer,1,automobile,ambiguous,1,automobile,True,,,False,False
83,blenheim_spaniel_s_001103.png,5,dog,5,dog,clean,0,airplane,True,,,False,False
84,stallion_s_000040.png,7,horse,0,airplane,gross,5,dog,True,,,False,True
85,stud_mare_s_001672.png,7,horse,4,deer,near_miss,7,horse,True,,,False,True
86,elk_s_000920.png,4,deer,4,deer,clean,3,cat,True,,,False,False
87,lipizzan_s_001123.png,7,horse,7,horse,clean_hard,3,cat,True,,,False,True
88,fire_truck_s_002721.png,9,truck,1,automobile,near_miss,7,horse,True,,,False,True
89,elk_s_001888.png,4,deer,4,deer,clean,2,bird,True,,,False,False
90,finch_s_000750.png,2,bird,2,bird,clean,9,truck,True,,,False,False
91,tabby_s_000880.png,3,cat,9,truck,gross,5,dog,True,,,False,True
92,banana_boat_s_001324.png,8,ship,8,ship,clean,2,bird,True,,,False,False
93,twinjet_s_000591.png,0,airplane,7,horse,random_flip,3,cat,True,,,False,False
94,shooting_brake_s_000029.png,1,automobile,1,automobile,clean_hard,2,bird,True,,,False,True
95,rana_pipiens_s_000101.png,6,frog,6,frog,ood,1,automobile,True,airport_inside,,False,False
96,station_wagon_s_001387.png,1,automobile,1,automobile,clean,8,ship,True,,,False,False
97,station_wagon_s_002712.png,1,automobile,2,bird,ambiguous,2,bird,True,,,False,False
98,odocoileus_hemionus_s_000221.png,4,deer,4,deer,clean,7,horse,True,,,False,False
99,convertible_s_001715.png,1,automobile,7,horse,near_miss,9,truck,True,,,False,True
100,abandoned_ship_s_000574.png,8,ship,0,airplane,near_miss,5,dog,True,,,False,True
101,true_cat_s_000114.png,3,cat,2,bird,near_miss,9,truck,True,,,False,True
102,dustcart_s_000063.png,9,truck,4,deer,gross,8,ship,True,,,False,True
103,frog_s_000797.png,6,frog,6,frog,clean,9,truck,True,,,False,False
104,green_frog_s_001320.png,6,frog,5,dog,near_miss,0,airplane,True,,,False,True
105,compact_car_s_001038.png,1,automobile,1,automobile,corrupted,4,deer,True,,brightness_low,False,False
106,freighter_s_001351.png,8,ship,8,ship,clean_hard,5,dog,True,,,False,True
107,mutt_s_000251.png,5,dog,5,dog,clean,3,cat,True,,,False,False
108,accentor_s_000303.png,2,bird,2,bird,clean,4,deer,True,,,False,False
109,lorry_s_001154.png,9,truck,9,truck,clean,0,airplane,True,,,False,False
110,fire_truck_s_000894.png,9,truck,9,truck,clean,2,bird,True,,,False,False
111,cargo_vessel_s_000731.png,8,ship,8,ship,clean_hard,3,cat,True,,,False,True
112,cruiser_s_000774.png,1,automobile,9,truck,ambiguous,9,truck,True,,,False,False
113,lippizan_s_000359.png,7,horse,4,deer,near_miss,5,dog,True,,,False,True
114,broodmare_s_001741.png,7,horse,5,dog,ood,3,cat,True,toystore,,False,False
115,fighter_aircraft_s_000876.png,0,airplane,6,frog,gross,8,ship,True,,,False,True
116,amphibious_aircraft_s_000216.png,0,airplane,0,airplane,clean,3,cat,True,,,True,False
117,leopard_frog_s_000339.png,6,frog,6,frog,corrupted,8,ship,True,,gaussian_noise,True,False
118,trucking_rig_s_001315.png,9,truck,2,bird,ood,7,horse,True,restaurant,,False,False
119,shooting_brake_s_000886.png,1,automobile,1,automobile,clean,8,ship,True,,,False,False
120,pipit_s_000549.png,2,bird,2,bird,clean,2,bird,True,,,False,False
121,ostrich_s_002148.png,2,bird,2,bird,clean,8,ship,True,,,False,False
122,trucking_rig_s_001600.png,9,truck,9,truck,clean,5,dog,True,,,False,False
123,alauda_arvensis_s_000755.png,2,bird,7,horse,gross,2,bird,True,,,False,True
124,rana_temporaria_s_001087.png,6,frog,2,bird,near_miss,7,horse,True,,,False,True
125,bufo_s_000136.png,6,frog,6,frog,corrupted,0,airplane,True,,brightness_low,False,False
126,estate_car_s_000529.png,1,automobile,1,automobile,corrupted,3,cat,True,,contrast_low,False,False
127,aerial_ladder_truck_s_000997.png,9,truck,0,airplane,near_miss,5,dog,True,,,False,True
128,toy_spaniel_s_000384.png,5,dog,5,dog,clean,5,dog,True,,,False,False
129,amphibious_aircraft_s_001195.png,0,airplane,0,airplane,clean_hard,3,cat,True,,,False,True
130,fallow_deer_s_001598.png,4,deer,4,deer,clean,9,truck,True,,,False,False
131,quarter_horse_s_000414.png,7,horse,7,horse,clean_hard,1,automobile,True,,,False,True
132,anuran_s_000712.png,6,frog,0,airplane,random_flip,0,airplane,True,,,False,False
133,arabian_s_001366.png,7,horse,3,cat,near_miss,3,cat,True,,,False,True
134,auto_s_000040.png,1,automobile,1,automobile,clean,3,cat,True,,,False,False
135,cargo_ship_s_001063.png,8,ship,4,deer,gross,0,airplane,True,,,False,True
136,motorcar_s_000121.png,1,automobile,2,bird,ambiguous,2,bird,True,,,False,False
137,motorcar_s_000305.png,1,automobile,0,airplane,near_miss,9,truck,True,,,False,True
138,anthus_pratensis_s_001071.png,2,bird,6,frog,ambiguous,2,bird,True,,,False,False
139,cruiser_s_000294.png,8,ship,8,ship,clean,0,airplane,True,,,False,False
140,wagon_s_000763.png,1,automobile,3,cat,near_miss,7,horse,True,,,False,True
141,alley_cat_s_002579.png,3,cat,0,airplane,ambiguous,0,airplane,True,,,False,False
142,tabby_cat_s_000825.png,3,cat,0,airplane,near_miss,1,automobile,True,,,False,True
143,spadefoot_s_000051.png,6,frog,3,cat,random_flip,5,dog,True,,,False,False
144,wagtail_s_002075.png,2,bird,2,bird,clean,2,bird,True,,,False,False
145,fallow_deer_s_001697.png,4,deer,4,deer,corrupted,4,deer,True,,contrast_low,False,False
146,garbage_truck_s_000777.png,9,truck,4,deer,gross,4,deer,True,,,False,True
147,moving_van_s_000067.png,9,truck,9,truck,clean,9,truck,True,,,False,False
148,mongrel_s_000696.png,5,dog,1,automobile,random_flip,0,airplane,True,,,False,False
149,red_deer_s_000741.png,4,deer,5,dog,gross,1,automobile,True,,,False,True
150,true_cat_s_001768.png,3,cat,3,cat,clean,1,automobile,True,,,False,False
151,spadefoot_s_000377.png,6,frog,6,frog,clean_hard,0,airplane,True,,,False,True
152,lipizzan_s_001233.png,7,horse,7,horse,clean,2,bird,True,,,False,False
153,japanese_deer_s_000163.png,4,deer,1,automobile,random_flip,3,cat,True,,,False,False
154,toad_s_002436.png,6,frog,1,automobile,gross,5,dog,True,,,False,True
155,police_boat_s_001421.png,8,ship,5,dog,ambiguous,5,dog,True,,,False,False
156,puppy_s_002062.png,5,dog,2,bird,near_miss,3,cat,True,,,True,True
157,lapdog_s_001869.png,5,dog,5,dog,clean,1,automobile,True,,,False,False
158,elk_s_001196.png,4,deer,4,deer,clean,5,dog,True,,,False,False
159,domestic_cat_s_001235.png,3,cat,8,ship,ambiguous,8,ship,True,,,False,False
160,car_s_000057.png,1,automobile,1,automobile,clean_hard,3,cat,True,,,False,True
161,lightship_s_000064.png,8,ship,8,ship,corrupted,5,dog,True,,brightness_low,False,False
162,fallow_deer_s_001997.png,4,deer,8,ship,ambiguous,8,ship,True,,,False,False
163,quarter_horse_s_000022.png,7,horse,6,frog,ambiguous,6,frog,True,,,False,False
164,bufo_calamita_s_000566.png,6,frog,6,frog,clean_hard,2,bird,True,,,False,True
165,biplane_s_000624.png,0,airplane,0,airplane,clean,7,horse,True,,,True,False
166,fire_truck_s_001616.png,9,truck,6,frog,gross,4,deer,True,,,False,True
167,japanese_spaniel_s_000037.png,5,dog,5,dog,clean,7,horse,True,,,False,False
168,ambulance_s_001394.png,1,automobile,6,frog,gross,8,ship,True,,,False,True
169,domestic_cat_s_001056.png,3,cat,3,cat,clean_hard,4,deer,True,,,False,True
170,tugboat_s_001384.png,8,ship,2,bird,gross,7,horse,True,,,False,True
171,emu_s_000072.png,2,bird,2,bird,clean,8,ship,True,,,False,False
172,gelding_s_000206.png,7,horse,3,cat,near_miss,7,horse,True,,,False,True
173,puppy_s_000637.png,5,dog,5,dog,clean,9,truck,True,,,True,False
174,tabby_cat_s_002607.png,3,cat,5,dog,ambiguous,3,cat,True,,,False,False
175,elk_s_001198.png,4,deer,9,truck,gross,6,frog,True,,,False,True
176,estate_car_s_001496.png,1,automobile,1,automobile,clean,1,automobile,True,,,False,False
177,peke_s_001338.png,5,dog,2,bird,near_miss,5,dog,True,,,True,True
178,arabian_s_001018.png,7,horse,2,bird,random_flip,2,bird,True,,,False,False
179,fighter_aircraft_s_000538.png,0,airplane,9,truck,random_flip,7,horse,True,,,False,False
180,fallow_deer_s_001164.png,4,deer,4,deer,clean,6,frog,True,,,False,False
181,lippizan_s_000390.png,7,horse,7,horse,clean,8,ship,True,,,False,False
182,toy_dog_s_000932.png,5,dog,5,dog,clean,2,bird,True,,,False,False
183,maltese_s_002151.png,5,dog,5,dog,clean_hard,3,cat,True,,,False,True
184,car_s_000002.png,1,automobile,1,automobile,clean_hard,7,horse,True,,,False,True
185,jumbo_jet_s_000697.png,0,airplane,7,horse,gross,8,ship,True,,,False,True
186,dump_truck_s_000008.png,9,truck,9,truck,clean,5,dog,True,,,False,False
187,spadefoot_s_000084.png,6,frog,3,cat,near_miss,8,ship,True,,,True,True
188,motortruck_s_000014.png,9,truck,0,airplane,near_miss,0,airplane,True,,,False,True
189,jetliner_s_001502.png,0,airplane,0,airplane,corrupted,1,automobile,True,,blur,False,False
190,tanker_s_000157.png,8,ship,8,ship,corrupted,1,automobile,True,,contrast_low,False,False
191,riding_horse_s_001870.png,7,horse,0,airplane,random_flip,2,bird,True,,,False,False
192,cabin_cruiser_s_000096.png,8,ship,6,frog,ambiguous,6,frog,True,,,False,False
193,dredger_s_001623.png,8,ship,7,horse,ambiguous,7,horse,True,,,False,False
194,pipit_s_001102.png,2,bird,2,bird,clean,0,airplane,True,,,False,False
195,mongrel_s_002430.png,5,dog,5,dog,clean,3,cat,True,,,True,False
196,skylark_s_000150.png,2,bird,2,bird,clean,0,airplane,True,,,False,False
197,cat_s_001604.png,3,cat,3,cat,corrupted,7,horse,True,,blur,False,False
198,puppy_s_000211.png,5,dog,5,dog,clean,1,automobile,True,,,False,False
199,airbus_s_001124.png,0,airplane,0,airplane,clean,3,cat,True,,,False,False
200,leopard_frog_s_001021.png,6,frog,6,frog,clean,2,bird,True,,,False,False
201,wagon_s_001824.png,1,automobile,2,bird,gross,7,horse,True,,,False,True
202,garbage_truck_s_000147.png,9,truck,1,automobile,near_miss,1,automobile,True,,,False,True
203,tabby_s_001354.png,3,cat,6,frog,ambiguous,6,frog,True,,,False,False
204,rana_temporaria_s_000295.png,6,frog,6,frog,clean,8,ship,True,,,False,False
205,lorry_s_000364.png,9,truck,9,truck,clean_hard,5,dog,True,,,False,True
206,estate_car_s_000075.png,1,automobile,1,automobile,corrupted,9,truck,True,,blur,False,False
207,tabby_s_000970.png,3,cat,3,cat,corrupted,7,horse,True,,contrast_low,False,False
208,fire_engine_s_000985.png,9,truck,1,automobile,near_miss,4,deer,True,,,False,True
209,toad_s_000022.png,6,frog,6,frog,clean_hard,1,automobile,True,,,True,True
210,texas_toad_s_000215.png,6,frog,6,frog,clean,5,dog,True,,,False,False
211,broodmare_s_000707.png,7,horse,8,ship,random_flip,8,ship,True,,,False,False
212,car_s_000286.png,1,automobile,1,automobile,clean,9,truck,True,,,False,False
213,twinjet_s_000565.png,0,airplane,3,cat,near_miss,4,deer,True,,,False,True
214,truck_s_001385.png,9,truck,9,truck,clean,8,ship,True,,,False,False
215,toy_dog_s_000752.png,5,dog,3,cat,random_flip,0,airplane,True,,,False,False
216,police_boat_s_000092.png,8,ship,8,ship,clean,5,dog,True,,,False,False
217,toy_dog_s_001197.png,5,dog,5,dog,clean,2,bird,True,,,False,False
218,cassowary_s_002446.png,2,bird,6,frog,gross,9,truck,True,,,True,True
219,articulated_lorry_s_000050.png,9,truck,9,truck,clean,6,frog,True,,,False,False
220,monoplane_s_000781.png,0,airplane,1,automobile,random_flip,8,ship,True,,,True,False
221,lightship_s_000343.png,8,ship,9,truck,near_miss,3,cat,True,,,False,True
222,powerboat_s_001486.png,8,ship,5,dog,near_miss,8,ship,True,,,False,True
223,jumbo_jet_s_000071.png,0,airplane,9,truck,near_miss,0,airplane,True,,,False,True
224,bufo_debilis_s_000024.png,6,frog,9,truck,gross,8,ship,True,,,False,True
225,transporter_s_000272.png,9,truck,9,truck,clean,6,frog,True,,,False,False
226,estate_car_s_000743.png,1,automobile,1,automobile,clean,5,dog,True,,,False,False
227,motorcar_s_000697.png,1,automobile,3,cat,gross,9,truck,True,,,False,True
228,rana_catesbeiana_s_001655.png,6,frog,8,ship,random_flip,3,cat,True,,,False,False
229,tabby_s_000675.png,3,cat,7,horse,random_flip,0,airplane,True,,,False,False
230,remount_s_000285.png,7,horse,3,cat,near_miss,2,bird,True,,,False,True
231,rana_catesbeiana_s_001521.png,6,frog,6,frog,clean,4,deer,True,,,False,False
232,true_frog_s_000223.png,6,frog,9,truck,gross,2,bird,True,,,True,True
233,airliner_s_002304.png,0,airplane,0,airplane,clean,9,truck,True,,,False,False
234,natterjack_s_000987.png,6,frog,0,airplane,gross,9,truck,True,,,False,True
235,leptodactylid_s_000082.png,6,frog,6,frog,corrupted,8,ship,True,,brightness_low,False,False
236,coupe_s_001892.png,1,automobile,1,automobile,clean_hard,8,ship,True,,,False,True
237,quarter_horse_s_000419.png,7,horse,0,airplane,ood,3,cat,True,bathroom,,False,False
238,car_s_001323.png,1,automobile,0,airplane,ambiguous,0,airplane,True,,,False,False
239,maltese_dog_s_001043.png,5,dog,5,dog,clean,5,dog,True,,,False,False
240,boat_s_000543.png,8,ship,2,bird,random_flip,8,ship,True,,,False,False
241,tabby_cat_s_001537.png,3,cat,3,cat,clean,3,cat,True,,,True,False
242,rana_catesbeiana_s_001096.png,6,frog,6,frog,clean,8,ship,True,,,False,False
243,bufo_bufo_s_000326.png,6,frog,6,frog,clean,7,horse,True,,,False,False
244,pilot_boat_s_000646.png,8,ship,6,frog,random_flip,2,bird,True,,,False,False
245,toad_frog_s_001672.png,6,frog,2,bird,ood,8,ship,True,restaurant,,True,False
246,boat_s_000988.png,8,ship,8,ship,clean_hard,3,cat,True,,,False,True
247,deer_s_001383.png,4,deer,5,dog,near_miss,9,truck,True,,,False,True
248,bufo_bufo_s_000261.png,6,frog,6,frog,clean,9,truck,True,,,False,False
249,leopard_frog_s_000763.png,6,frog,1,automobile,random_flip,7,horse,True,,,True,False
250,coupe_s_002178.png,1,automobile,1,automobile,clean,3,cat,True,,,False,False
251,cat_s_000663.png,3,cat,3,cat,clean,6,frog,True,,,True,False
252,ship_s_000175.png,8,ship,8,ship,clean,3,cat,True,,,True,False
253,house_cat_s_001471.png,3,cat,2,bird,gross,1,automobile,True,,,True,True
254,stag_s_001458.png,4,deer,9,truck,gross,6,frog,True,,,False,True
255,station_wagon_s_001337.png,1,automobile,1,automobile,clean_hard,4,deer,True,,,False,True
256,quarter_horse_s_002201.png,7,horse,1,automobile,random_flip,2,bird,True,,,False,False
257,coupe_s_000698.png,1,automobile,9,truck,near_miss,9,truck,True,,,False,True
258,tomcat_s_002553.png,3,cat,7,horse,ambiguous,7,horse,True,,,False,False
259,scow_s_001266.png,8,ship,2,bird,gross,3,cat,True,,,False,True
260,chihuahua_s_000385.png,5,dog,5,dog,clean_hard,3,cat,True,,,True,True
261,convertible_s_001500.png,1,automobile,1,automobile,clean,4,deer,True,,,False,False
262,convertible_s_000408.png,1,automobile,1,automobile,clean,8,ship,True,,,False,False
263,odocoileus_hemionus_s_000512.png,4,deer,4,deer,clean,6,frog,True,,,False,False
264,jumbo_jet_s_000971.png,0,airplane,0,airplane,clean,6,frog,True,,,False,False
265,truck_s_000650.png,9,truck,6,frog,gross,1,automobile,True,,,False,True
266,domestic_cat_s_001288.png,3,cat,3,cat,clean,0,airplane,True,,,False,False
267,walking_horse_s_000194.png,7,horse,7,horse,clean,9,truck,True,,,False,False
268,elk_s_001657.png,4,deer,4,deer,clean,0,airplane,True,,,False,False
269,tipper_truck_s_000287.png,9,truck,5,dog,near_miss,7,horse,True,,,False,True
270,dumper_s_000648.png,9,truck,8,ship,near_miss,1,automobile,True,,,False,True
271,struthio_camelus_s_000225.png,2,bird,2,bird,clean_hard,1,automobile,True,,,True,True
272,woodland_caribou_s_000803.png,4,deer,2,bird,near_miss,2,bird,True,,,False,True
273,ladder_truck_s_000795.png,9,truck,9,truck,clean,0,airplane,True,,,False,False
274,pantechnicon_s_000230.png,9,truck,9,truck,clean,5,dog,True,,,False,False
275,shooting_brake_s_000229.png,1,automobile,6,frog,gross,8,ship,True,,,False,True
276,jetliner_s_001349.png,0,airplane,8,ship,ambiguous,8,ship,True,,,False,False
277,toy_dog_s_001280.png,5,dog,5,dog,clean,8,ship,True,,,False,False
278,dump_truck_s_002104.png,9,truck,9,truck,clean,3,cat,True,,,False,False
279,twinjet_s_001360.png,0,airplane,0,airplane,clean,7,horse,True,,,True,False
280,tugboat_s_000715.png,8,ship,8,ship,clean,7,horse,True,,,False,False
281,passerine_s_000360.png,2,bird,2,bird,corrupted,3,cat,True,,gaussian_noise,False,False
282,automobile_s_002337.png,1,automobile,7,horse,ambiguous,7,horse,True,,,False,False
283,honey_eater_s_001422.png,2,bird,2,bird,clean,2,bird,True,,,False,False
284,attack_aircraft_s_001304.png,0,airplane,3,cat,near_miss,5,dog,True,,,True,True
285,toy_dog_s_000114.png,5,dog,5,dog,clean,6,frog,True,,,False,False
286,anuran_s_000550.png,6,frog,4,deer,near_miss,8,ship,True,,,False,True
287,mouser_s_000382.png,3,cat,7,horse,random_flip,1,automobile,True,,,False,False
288,sparrow_s_000037.png,2,bird,6,frog,near_miss,3,cat,True,,,False,True
289,stud_mare_s_001038.png,7,horse,7,horse,clean,8,ship,True,,,False,False
290,speedboat_s_002588.png,8,ship,0,airplane,near_miss,6,frog,True,,,False,True
291,passenger_ship_s_002153.png,8,ship,0,airplane,near_miss,0,airplane,True,,,False,True
292,bufo_bufo_s_001876.png,6,frog,6,frog,clean,3,cat,True,,,False,False
293,biplane_s_000651.png,0,airplane,3,cat,near_miss,7,horse,True,,,False,True
294,gelding_s_001785.png,7,horse,5,dog,random_flip,0,airplane,True,,,False,False
295,trucking_rig_s_001598.png,9,truck,9,truck,clean_hard,1,automobile,True,,,False,True
296,deer_s_000309.png,4,deer,4,deer,clean_hard,0,airplane,True,,,True,True
297,pekingese_s_001946.png,5,dog,5,dog,clean,4,deer,True,,,False,False
298,frog_s_002802.png,6,frog,3,cat,near_miss,6,frog,True,,,False,True
299,cervus_unicolor_s_000290.png,4,deer,6,frog,near_miss,0,airplane,True,,,False,True
300,honey_eater_s_000478.png,2,bird,6,frog,ood,0,airplane,True,warehouse,,False,False
301,automobile_s_001152.png,1,automobile,1,automobile,corrupted,2,bird,True,,blur,True,False
302,coupe_s_000846.png,1,automobile,1,automobile,corrupted,0,airplane,True,,gaussian_noise,False,False
303,flying_bird_s_000252.png,2,bird,2,bird,clean_hard,7,horse,True,,,True,True
304,automobile_s_002343.png,1,automobile,1,automobile,clean,3,cat,True,,,False,False
305,japanese_spaniel_s_001162.png,5,dog,5,dog,clean_hard,1,automobile,True,,,True,True
306,fire_truck_s_000043.png,9,truck,9,truck,clean_hard,7,horse,True,,,False,True
307,semi_s_001207.png,9,truck,1,automobile,random_flip,0,airplane,True,,,False,False
308,fighter_aircraft_s_001840.png,0,airplane,0,airplane,clean,9,truck,True,,,False,False
309,ship_s_001976.png,8,ship,8,ship,clean,8,ship,True,,,False,False
310,caribou_s_001222.png,4,deer,3,cat,near_miss,8,ship,True,,,True,True
311,police_cruiser_s_001347.png,1,automobile,1,automobile,clean,8,ship,True,,,False,False
312,coupe_s_000042.png,1,automobile,1,automobile,clean,3,cat,True,,,False,False
313,bufo_bufo_s_000995.png,6,frog,6,frog,clean,6,frog,True,,,False,False
314,tabby_s_001148.png,3,cat,3,cat,clean,7,horse,True,,,False,False
315,true_cat_s_000476.png,3,cat,5,dog,near_miss,6,frog,True,,,False,True
316,garbage_truck_s_001442.png,9,truck,9,truck,clean,5,dog,True,,,False,False
317,fighter_aircraft_s_000385.png,0,airplane,0,airplane,clean,7,horse,True,,,False,False
318,quarter_horse_s_001602.png,7,horse,4,deer,near_miss,7,horse,True,,,False,True
319,camion_s_000116.png,9,truck,9,truck,clean_hard,3,cat,True,,,False,True
320,tennessee_walker_s_000539.png,7,horse,1,automobile,random_flip,7,horse,True,,,False,False
321,lipizzan_s_000452.png,7,horse,5,dog,near_miss,0,airplane,True,,,True,True
